cutoff,rdd_est,rdd_lci,rdd_uci,rdd_pval,rdd_tval
200,-0.04451496032116278,-0.0838889274762731,-0.005140993166052453,0.026700186739102013,-2.2158732103118735
210,-0.06067959929796548,-0.09921860063514693,-0.022140597960784034,0.0020289589090805157,-3.0859603283387056
220,-0.07575825008727052,-0.11225564772759367,-0.039260852446947374,4.7351378092293674e-5,-4.068329560537783
230,-0.07459401129237292,-0.10975655264510065,-0.039431469939645185,3.2121674375753705e-5,-4.157878525582833
240,-0.06996059764389165,-0.10380522097676778,-0.03611597431101551,5.089829521351608e-5,-4.0514633704234155
250,-0.06526370075339344,-0.098488218859556,-0.032039182647230886,1.1811625337305182e-4,-3.850003258609336
260,-0.03973970723492266,-0.07188093890820803,-0.007598475561637286,0.01537949735766589,-2.423317056681192
270,-0.02459214838766814,-0.055907132008109206,0.006722835232772926,0.12375779737777473,-1.5391904950840083
280,-0.018666930076119158,-0.05001730811821146,0.012683447965973142,0.2432023898470289,-1.1670197597617014
290,-0.028426526843632564,-0.059257718899758505,0.0024046652124933773,0.07074708480437611,-1.8070974588869555
300,-0.0379613604978395,-0.0680305185440356,-0.007892202451643394,0.013346297677117485,-2.4743925076185906
310,-0.03217236006511093,-0.062160781038271724,-0.002183939091950131,0.035491960519266064,-2.1027004750169045
320,-0.021248674713326202,-0.05082963116548054,0.008332281738828134,0.15916460198879281,-1.4078867674440338
330,-0.02846145981489166,-0.057763271752216565,8.403521224332466e-4,0.056942254440202476,-1.9037538123560285
340,-0.014022725649525518,-0.043174311353446126,0.015128860054395088,0.3457845764381868,-0.9427973324435558
350,0.002043670689167883,-0.026407827107841796,0.030495168486177563,0.8880404366726098,0.1407841856202801
360,-0.0035666282754522353,-0.032113550457109306,0.024980293906204838,0.8065522594508011,-0.24487623995487434
370,-0.015168045378816252,-0.04380667592033106,0.013470585162698554,0.29923877636327284,-1.0380671874394933
380,-0.014370715141253085,-0.042719199473252506,0.013977769190746336,0.32043430815533297,-0.9935657857075253
390,-0.01508821687435363,-0.04331261661963047,0.013136182870923208,0.2947497741708709,-1.0477587453250037
400,-0.01870626026363564,-0.046554678776448574,0.00914215824917729,0.18799238639980925,-1.3165414181523387
410,-0.022085128193593963,-0.049403300510004966,0.005233044122817044,0.11307655388977322,-1.5845150748752987
420,-0.04299268277801806,-0.07057925665794862,-0.015406108898087488,0.002254109536440209,-3.0545333469254605
430,-0.049404857163869484,-0.07651895499568626,-0.02229075933205272,3.55255611180116e-4,-3.5712691347194156
440,-0.05181548672711045,-0.0791924740674069,-0.024438499386813996,2.0762242770659925e-4,-3.709556736984996
450,-0.046242168721047375,-0.07317712943207896,-0.019307208010015783,7.657618650271582e-4,-3.3648827719714265
